Code,City,State_Code, Region, Country
ABE,Aberdeen,WA
ABG,Alburg,VT
ABQ,Albuquerque,NM
ABS,AlburgSprings,VT
ADT,AmistadDam,TX
M,Algoma,WI
ALP,Alpena,MI
AGA,Agana,Guam
AGN,Algonac,MI
AGU,Mayaguez,PR
AKR,Akron,OH
ALB,Albany,NY
ALC,Alcan,AK
AMB,Ambrose,ND
ANA,Anacortes,WA
ANC,Anchorage,AK
AND,Andrade,CA
ANP,AntelopeWells,NM
ANT,Antler,ND
ANZ,Anzaldaus,TX
ARU,Aruba
AST,Astoria,OR
ATB,Ashtabula,OH
ATL,Atlanta,GA
ATW,Appleton,WI
AUS,Austin,TX
AXB,AlexandriaBay,NY
BAL,Baltimore,MD
BAU,Baudette,MN
BAY,Bayfield,WI
BBM,Brownsville,B&MBridge
BCK,Bucksport,ME
BCY,BayCity,MI
BCM,BattleCreekandKalamazooCountyAirport,MI
BEA,Beaumont,TX
BEB,BeebePlain,VT
BEE,BeecherFalls,VT
BEL,Bellingham,WA
BGC,Bridgeport,CT
BGM,Bangor,ME
BHM,BarHarbor,MEFerryTerminal
BIL,Billings,MT
BLA,Blaine,WA
BOA,ElPaso,TXBridgeofAmericas
BOC,BocaGrande,FL
BOO,BoothbayHarbor,ME
BOS,Boston,MA
BRG,Burlington,VT
BRO,Brownsville,TX
BRU,Brunswick,GA
BTM,Butte,MT
BTN,BatonRouge,LA
BUF,Buffalo,NY
BWA,Boundary,WA
BWM,Bridgewater,ME
CAL,Calexico,CA
CAN,CapeCanaveral,FL
CAP,CapeVincent,NY
CHA,CharlotteAmalie,St.Thomas,VI
CBH,Churubusco,IN
CHF,ChiefMountain,MT
CHI,Chicago,IL
CHL,Charleston,SC
CHM,Champlain,NY
CHR,Christiansted,St.Croix,VI
CHT,Chateaugay,NY
CIN,Cincinnati,OH
CLA,Clayton,NY
CLE,Cleveland,OH
CLG,Calgary,AlbertaCanada
CLS,Calais,ME
CLT,Charlotte,NC
CNA,Canaan,VT
CNC,CannonCorners,NY
CNJ,Camden,NJ
COB,CoburnGore,ME
COL,Columbus,NM
COO,CoosBay,OR
COR,CorpusChristi,TX
COW,HQ,WashingtonDC
CRA,CraneLake,MN
CRB,Caribou,ME
CRU,CruzBay,St.John,VI
CSP,Casper,WY
CRY,Carbury,ND
CUT,CutBank,MT
DAL,Dallas,TX
DAC,DaltonCache,AK
